"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1PBPEN,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,penne,12,500 g,€ 0.75,4%,,
1PBFUS,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,fusilli,12,500 g,€ 0.75,4%,,
1PBCRE,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,creste,12,500 g,€ 0.75,4%,,
1PBMAR,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,marziani,12,500 g,€ 0.75,4%,,
1PBCONM,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,conchiglie medie,12,500 g,€ 0.75,4%,,
1PBCOD,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,codini,12,500,€ 0.75,4%,,
1PBSPA,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,spaghetti,12,500 g,€ 0.75,4%,,
1PBTAG,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,tagliatelle,12,500 g,€ 0.75,4%,,
1PBCAP,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,capellini,12,500 g,€ 0.75,4%,,
1PBMAC,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,macaronis,12,500 g,€ 0.75,4%,,
1PBNOU,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,nouilles,12,500 g,€ 0.75,4%,,
1PBCOR,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,cornetti,12,500 g,€ 0.75,4%,,
1PBALFA,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,alfabeto,12,500 g,€ 0.75,4%,,
1PBSTE,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,stelline,12,500 g,€ 0.75,4%,,
1PBBIA,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,biavetta,12,500 g,€ 0.75,4%,,
1PBVER,PASTA DI SEMOLA DI GRANO DURO/DURUM WHEAT PASTA,vermicelli,12,500 g,€ 0.75,4%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
 PASTA DI SEMOLATO DI GRANO DURO ITALIANO BIOLOGICA/ORGANIC ITALIAN HALF WHOLE DURUM WHEAT PASTA ,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1PSPEN,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,penne,12,500 g,€ 0.75,4%,,
1PSFUS,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,fusilli,12,500 g,€ 0.75,4%,,
1PSMICRE,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,crestine trafilate al bronzo,12,500 g,€ 0.75,4%,,
1PSSPA,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,spaghetti,12,500 g,€ 0.75,4%,,
1PSMAC,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,macaronis,12,500 g,€ 0.75,4%,,
1PSNOU,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,nouilles,12,500 g,€ 0.75,4%,,
1PSCOR,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,cornetti,12,500 g,€ 0.75,4%,,
1PSSTE,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,stelline,12,500 g,€ 0.75,4%,,
1PSVER,PASTA DI SEMOLATO DI GRANO DURO/HALF WHOLE DURUM WHEAT PASTA,vermicelli,12,500 g,€ 0.75,4%,,
,,,,,,,,
,,,,,,,,
PASTA DI SEMOLA INTEGRALE DI GRANO DURO ITALIANO BIOLOGICA/ORGANIC ITALIAN WHOLE WHEAT PASTA,,,,,,,,
,,,,,,,,
"CODICE PRODOTTO
CODE","TIPOLOGIA
TYPE","FORMATO
SHAPE","PZ PER COLLO
PC PER BOX","PESO AL PZ
WEIGHT PER PC","PREZZO AL PEZZO
PRICE PER PC",IVA,,
1PIPEN,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,penne,12,500 g,€ 0.75,4%,,
1PIFUS,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,fusilli,12,500 g,€ 0.75,4%,,
1PISED,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,sedani,12,500 g,€ 0.75,4%,,
1PIMAR,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,marziani,12,500 g,€ 0.75,4%,,
1PILUM,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,lumache,12,500 g,€ 0.75,4%,,
1PISPA,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,spaghetti,12,500 g,€ 0.75,4%,,
1PICAP,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,capellini,12,500 g,€ 0.75,4%,,
1PITAG,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,tagliatelle,12,500 g,€ 0.75,4%,,
1PICOR,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,cornetti,12,500 g,€ 0.75,4%,,
1PIMAC,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,macaronis,12,500 g,€ 0.75,4%,,
1PIDIT,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,ditalini,12,500 g,€ 0.75,4%,,
1PISTE,PASTA DI SEMOLA INTEGRALE DI GRANO DURO/WHOLE WHEAT PASTA,stelline,12,500 g,€ 0.75,4%,,
