1MAIPEN,8013885050772,1902.19.10,"CORN ITALIAN PASTA PASTA 100% MAIS ITALIANO",penne,12,250 g,€ 0.85,4%,,,,
1MAICOR,8013885050758,1902.19.10,"CORN ITALIAN PASTA PASTA 100% MAIS ITALIANO",cornetti,12,250 g,€ 0.85,4%,,,,
1MAISTE,8013885050765,1902.19.10,"CORN ITALIAN PASTA PASTA 100% MAIS ITALIANO",stelline,12,250 g,€ 0.85,4%,,,,
1ORZFUS,8013885051427,1902.30.10,"100% WHOLEGRAIN BARLEY ITALIAN PASTA          PASTA 100% INTEGRALE ORZO ITALIANO",fusilli,12,500 g,€ 1.389,10%,,,,
1SEGFUS,8013885051533,1902.30.10,100% WHOLEGRAIN RYE ITALIAN PASTA                    SPECIALITA' ALIMENTARE 100% INTEGRALE SEGALE ITALIANA,fusilli,12,500 g,€ 1.44,10%,,,,
1SEGSED,8013885051519,1902.30.10,100% WHOLEGRAIN RYE ITALIAN PASTA                    SPECIALITA' ALIMENTARE 100% INTEGRALE SEGALE ITALIANA,sedani,12,500 g,€ 1.44,10%,,,,
1SEGSPA,8013885051557,1902.30.10,100% WHOLEGRAIN RYE ITALIAN PASTA                    SPECIALITA' ALIMENTARE 100% INTEGRALE SEGALE ITALIANA,spaghetti,12,500 g,€ 1.73,10%,,,,
1AVESED,8013885051113,1902.30.10,"100% WHOLEGRAIN OAT ITALIAN PASTA                                    PASTA 100% INTEGRALE AVENA",sedani,12,500 g,€ 1.678,10%,,,,
1AVECOD,8013885051120,1902.30.10,"100% WHOLEGRAIN OAT ITALIAN PASTA                                    PASTA 100% INTEGRALE AVENA",codini,12,500 g,€ 1.678,10%,,,,
1ERBMAR,8013885040216,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH HERBS                                          PASTA DI SEMOLA DI GRANO DURO CON ERBETTE,marziani,12,500 g,€ 1.191,4%,,,,
1BASSPA,8013885040117,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH BASIL                                           PASTA DI SEMOLA DI GRANO DURO CON BASILICO,spaghetti,12,500 g,€ 1.191,4%,,,,
1PORCOD,8013885040612,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH LEEKS                                           PASTA DI SEMOLA DI GRANO DURO CON PORRI,codini,12,500 g,€ 1.191,4%,,,,
1PEPSPA,8013885040322,1902.19.10,DURUM WHEAT ITALIAN PASTA WITH CHILLI                                         PASTA DI SEMOLA DI GRANO DURO CON PEPERONCINO,spaghetti,12,500 g,€ 1.191,4%,,,,
